index,station_name,east_m,north_m
140,C45,-69.508564044769,-212.851024930352
141,C46,-179.761372559684,108.376767492420
142,C47,165.004856541512,-130.855094287494
143,C48,-182.841095741442,-28.247899249503
144,C49,13.400885550674,220.292852594887
145,C5,1.471326181551,5.549496540971
146,C50,200.992564111831,-107.918517603046
147,C51,51.378174961969,188.602197290055
148,C52,-22.884908588069,-158.001846646975
149,C53,-120.012876389146,93.640356348307
150,C54,126.335481475376,27.155663432972
151,C55,226.941302898326,-17.278875910899
152,C56,-170.711590111329,-87.530024533311
153,C57,44.715460342011,-133.735308665965
154,C58,-103.210280087811,-139.829709315632
155,C59,-26.045844123355,-26.165728075741
156,C6,-31.634168108498,199.349953916407
157,C60,150.889897271806,-42.209055951825
158,C61,-145.559948081156,-169.304406178716
159,C62,-109.671580464687,-192.352321752280
160,C63,-86.807480518354,-30.130832247745
161,C64,-136.615894447724,167.215194149030
162,C65,-69.511763878658,223.838183392360
163,C66,-9.364061059497,-219.056369615823
164,C67,-169.918311131815,15.963996904083
165,C68,118.284389328811,208.102916809444
166,C69,127.429237664304,113.585482543262
167,C7,33.184449786341,132.754847527767
168,C70,-23.580696490404,135.636400368253
169,C71,161.427177966290,-87.751074070258
170,C72,194.235871270359,113.916755826842
171,C73,44.119335526713,-223.710658119982
172,C74,-198.944818705820,-119.109848201765
173,C75,112.814510798012,-23.483028275064
174,C76,221.073428454936,-184.042999072061
175,C77,227.036815221368,-226.261046092381
176,C78,-214.559049425754,268.492164217479
177,C79,100.519540426776,-240.987632452443
178,C8,9.026307184151,-51.295062282623
179,C80,-320.333288645490,110.590398396009
180,C81,90.643472085222,-331.968621352489
181,C82,-150.727673354655,-246.094317322003
182,C83,321.985677377858,158.902088730293
183,C84,-187.311721884029,-218.393023604152
184,C85,228.436265550403,199.680892534335
185,C86,-96.747021481134,-273.905938407540
186,C87,-262.071917817202,-94.179583214894
187,C88,57.208579907390,-282.668452110667
188,C89,-167.435897222756,236.137258213281
189,C9,111.920356180006,66.714173626127
190,C90,-331.168103882901,63.164201967229
191,C91,-188.106716393366,-271.580441319998
192,C92,-306.115598894036,20.725695695395
193,C93,-136.220224542547,322.788303309560
194,C95,-266.548964852240,62.722184723048
195,C96,-292.499630156149,182.947268443094
196,C97,107.747063390809,253.090647121372
197,C98,301.999961929483,58.178870681609
198,C99,99.261472153526,-290.543282251974
199,E1-1,-191.101237627533,575.537603062092
200,E1-2,-235.542333117637,600.801317014420
201,E10-1,6984.215192166800,-4114.207065836951
202,E10-2,6940.002014710250,-4093.129281219480
203,E10-3,7049.524628275743,-4087.650449184280
204,E10-4,6987.232998934416,-4049.940474802831
205,E13-1,17349.931476910671,1365.974650951613
206,E13-2,17256.872834481434,1369.205597940028
207,E13-3,17306.999348339836,1381.104187215808
208,E13-4,17259.021387475244,1414.190290190080
209,E15-1,28172.547438538248,-7573.548646857009
210,E15-2,28092.337007937269,-7543.784432400079
211,E15-3,28217.656604429849,-7521.867738879363
212,E15-4,28144.100900229387,-7498.689856269124
213,E16-1,42777.785378674031,-14222.261863302352
214,E16-2,42727.906667847019,-14202.036626047444
215,E16-3,42847.099992626900,-14192.246456660641
216,E16-4,42751.476511950030,-14162.446401587214
217,E2-1,-780.246492792804,463.710473510769
218,E2-2,-830.256132708713,502.379490024062
219,E2-3,-701.511541952531,518.010832790449
220,E3-1,-1298.447591702039,-132.360704882536
221,E3-2,-1253.911148511117,-126.151516137876
222,E3-3,-1347.363115542674,-93.362528822241
223,E4-1,-1408.872620917472,-1214.955277449558
224,E4-2,-1363.148113864017,-1204.645546577913
225,E4-3,-1358.183303659060,-1157.440614457984
